Auditoria Ambiental da Companhia Docas do Ceará;;;;;;;;;;;;
;;;;;;;;;;;;
ITEM;PROCEDIMENTO;REQUISITO VERIFICADO;EVIDÊNCIA OBJETIVA;CLASSIFICAÇÃO;DESCRIÇÃO DETALHADA;IMPACTO RISCO;AÇÃO PROPOSTA;PRAZO IMPLEMENTAÇÃO;STATUS IMPLEMENTAÇÃO;DATA AUDITORIA;OBSERVAÇÕES COMPLEMENTARES;DOCUMENTOS REFERÊNCIA
REQ.001;PS-001-09 Política Ambiental;Política Ambiental Do Sistema De Gestão Ambiental;Prazo de válida até 31/12/2025 e Divulgação;Conforme;Verificação da Missão e da Política Ambiental;Baixo;Implementar Missão e Política Ambiental;08/08/2025;Concluído;25/09/2025;Atualização anual e aderência dos colaboradores;PS001-09 e entrevista c/empregados-terceiros
REQ.002;PS-002-12 Gestão de Aspectos e Impactos;Definição das metas com objetivos espefíficos;Relatório de acompanhamento das metas apresentado;Conforme;Acompanhamento das metas;Médio;Oportunidade de melhoria em atendimento às metas estabelecidas;31/12/2025;Em Andamento;25/09/2025;Observações específicas para atendimento às metas;Ações de educação ambiental
REQ.003;PS-003-12 Controle Revisão de Procedimentos;Controle sobre as revisões dos procedimentos adotados no Sistema de Gestão Ambiental da CDC.;Documentação apresentada desatualizada;Não Conformidade;Documentação apresentada fora do parâmetro de controle de revisão;Baixo;Manter conformidade;31/12/2025;Em Andamento;25/09/2025;Verificar a atualização do controle das revisões.;Verificar PS003 atualizado.
REQ.004;PS-004-11 Aspectos e Impactos Ambientais;Parâmentos dentro da normalidade;Situação esperada dentro dos padrões de atividade;Oportunidade de Melhoria;Verificação de todos os parâmetros de aspectos ambientais;Baixo;Fazer atualização da numeração do formulário;04/11/2025;Em Andamento;25/09/2025;Manter os formulários de identificação dos Aspectos/Impactos Ambientais atualizados e corrigir o número do REG que está como 03 sendo 02.;
REQ.005;PS-005-10 Comunicação externa e interna do SGA;Política de Comunicação Interna e Externa da CDC;Formulário de comunicação de Incidente;Conforme;Adoção de formulário padrão para casos de incidente;Baixo;Manter conformidade;Contínuo;Concluído;25/09/2025;Manter a comunicação sempre que ocorrer acidentes.;E-mail de registros.
REQ.006;PS-006-10  Ocorrência de acidentes ambientais;Registro de ocorrências em caso de acidentes;Ocorrências de acidentes ambientais serão registradas em formulário para comunição dos órgãos ambientais;Conforme;Política de comunicação definida em formulário específico;Baixo;Manter conformidade;Contínuo;Concluído;25/09/2025;Manter os formulários de ocorrências de registros ambientais por 2 anos ou a critério da área;ùltima comunicacao 02/2024
REQ.007;PS-007-09 Análise Crítica de Desempenho do SGA;Reunião anual na qual apresentará a Administração da CDC os resultados das ações SGA;Ata de reunião;Oportunidade de Melhoria;Desempenho do SGA da CDC avaliado com base nos Índices de Desempenho pela alta administração, tendo como referência o IDA 2024 e ESG entre outros assuntos relacionados.;Baixo;Manter conformidade;Contínuo;Concluído;25/09/2025;Atualizar formato do REG05 para o sistema SEI.;ATA RMR do SEI.
REQ.008;PS-008-09 Registros de não-conformidades do SGA;Ação corretiva e/ou preventiva das Não-Conformidades Ambientais no SGA;Plano de Ação para correção das não conformidade;Conforme;Formulário com plano de ação detalhado com as informações imprescindíveis;Médio;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Fazer ações corretivas em tempo hábil ;Plano de Ação última auditoria
REQ.009;PS-009-09 Auditoria ambiental interna;Requisitos para realização da Auditoria Ambiental Interna no SGA;Cumprimento dos critérios da legislação ambiental conforme a CONAMA 306/03;Conforme;Verificação do cumprimento da legislação ambiental segundo Resolução da CONAMA 306/03;Baixo;Manter conformidade;Contínuo;Em Andamento;25/09/2025;Observações específicas para plano de emergência ambiental;Relatório/planilha de auditoria interna
REQ.010;PS-010-11 Legislação aplicada ao SGA;Aplicação dos requisitos legais ao SGA da CDC;Comunicação Interna da Assessoria Jurídica com a legislação atualizada;Oportunidade de Melhoria;A Ass. Jurídica da CDC estabelecerá uma atualização da legislação aplicada realizando inventário, recomendado semestral.;Baixo;Atualização semestral da legislação;Semestral;Em Andamento;25/09/2025;Implementação das medidas corretivas sobre as Não-conformidades identificadas em auditorias internas ou externa.;PS010-11
